Date;Country;RegionName;HospitalizedPatients;IntensiveCarePatients;TotalHospitalizedPatients;HomeConfinement;CurrentPositiveCases;NewPositiveCases;Recovered;Deaths;TotalPositiveCases
05/03/2020 17:00;ITA;Molise;4;0;4;3;7;4;0;0;7
05/03/2020 17:00;ITA;Piemonte;43;17;60;46;106;26;0;2;108
05/03/2020 17:00;ITA;Puglia;5;1;6;6;12;5;1;1;14
05/03/2020 17:00;ITA;Sardegna;2;0;2;0;2;0;0;0;2
05/03/2020 17:00;ITA;Sicilia;5;0;5;11;16;0;2;0;18
05/03/2020 17:00;ITA;Toscana;26;3;29;31;60;23;1;0;61
05/03/2020 17:00;ITA;Umbria;1;1;2;7;9;0;0;0;9
05/03/2020 17:00;ITA;Valle d'Aosta;0;0;0;2;2;2;0;0;2
05/03/2020 17:00;ITA;Veneto;92;24;116;264;380;47;17;10;407
05/03/2020 17:00;ITA;Trentino Alto Adige;3;0;3;5;8;2;0;0;8
06/03/2020 17:00;ITA;Abruzzo;9;0;9;0;9;1;0;0;9
06/03/2020 17:00;ITA;Basilicata;1;0;1;2;3;2;0;0;3
06/03/2020 17:00;ITA;Calabria;2;0;2;2;4;2;0;0;4
06/03/2020 17:00;ITA;Campania;12;0;12;45;57;12;0;0;57
06/03/2020 17:00;ITA;Emilia-Romagna;397;53;450;366;816;172;17;37;870
06/03/2020 17:00;ITA;Friuli Venezia Giulia;4;0;4;24;28;10;3;0;31
06/03/2020 17:00;ITA;Lazio;26;8;34;16;50;10;3;1;54
06/03/2020 17:00;ITA;Liguria;12;5;17;7;24;4;5;3;32
06/03/2020 17:00;ITA;Lombardia;1622;309;1931;77;2008;361;469;135;2612
06/03/2020 17:00;ITA;Marche;73;20;93;62;155;35;0;4;159
06/03/2020 17:00;ITA;Molise;3;2;5;7;12;5;0;0;12
06/03/2020 17:00;ITA;Piemonte;57;30;87;52;139;35;0;4;143
06/03/2020 17:00;ITA;Puglia;5;1;6;9;15;3;1;1;17
06/03/2020 17:00;ITA;Sardegna;2;0;2;3;5;3;0;0;5
06/03/2020 17:00;ITA;Sicilia;7;0;7;15;22;6;2;0;24
06/03/2020 17:00;ITA;Toscana;35;5;40;38;78;18;1;0;79
